time,freq
0.023219955,0
0.034829932,0
0.046439909,0
0.058049887,0
0.069659864,0
0.081269841,0
0.092879819,0
0.104489796,0
0.116099773,250.216
0.127709751,259.165
0.139319728,254.418
0.150929705,254.056
0.162539683,0
0.174149660,0
0.185759637,0
0.197369615,0
0.208979592,0
0.220589569,0
0.232199546,0
0.243809524,0
0.255419501,0
0.267029478,0
0.278639456,220.119
0.290249433,218.231
0.301859410,217.227
0.313469388,223.102
0.325079365,230.366
0.336689342,238.551
0.348299320,246.326
0.359909297,253.129
0.371519274,257.199
0.383129252,260.505
0.394739229,262.418
0.406349206,263.511
0.417959184,264.206
0.429569161,264.318
0.441179138,264.867
0.452789116,265.779
0.464399093,266.348
0.476009070,266.236
0.487619048,264.89
0.499229025,262.265
0.510839002,258.128
0.522448980,252.551
0.534058957,247.668
0.545668934,246.011
0.557278912,246.183
0.568888889,253.824
0.580498866,260.731
0.592108844,0
0.603718821,0
0.615328798,312.396
0.626938776,307.312
0.638548753,303.298
0.650158730,297.238
0.661768707,291.603
0.673378685,289.948
0.684988662,291.42
0.696598639,294.117
0.708208617,297.743
0.719818594,300.262
0.731428571,301.547
0.743038549,301.937
0.754648526,300.727
0.766258503,298.441
0.777868481,292.12
0.789478458,285.166
0.801088435,280.341
0.812698413,274.02
0.824308390,259.444
0.835918367,0
0.847528345,0
0.859138322,0
0.870748299,0
0.882358277,0
0.893968254,0
0.905578231,0
0.917188209,0
0.928798186,0
0.940408163,273.171
0.952018141,266.793
0.963628118,265.842
0.975238095,264.446
0.986848073,261.985
0.998458050,259.923
1.010068027,256.646
1.021678005,252.489
1.033287982,246.107
1.044897959,232.63
1.056507937,225.673
1.068117914,233.895
1.079727891,0
1.091337868,0
1.102947846,213.287
1.114557823,211.923
1.126167800,0
1.137777778,0
1.149387755,0
1.160997732,183.951
1.172607710,183.97
1.184217687,186.977
1.195827664,190.425
1.207437642,193.892
1.219047619,198.434
1.230657596,201.141
1.242267574,201.928
1.253877551,201.393
1.265487528,200.949
1.277097506,201.276
1.288707483,202.34
1.300317460,202.95
1.311927438,202.994
1.323537415,202.712
1.335147392,201.734
1.346757370,198.513
1.358367347,196.884
1.369977324,195.05
1.381587302,190.84
1.393197279,180.681
1.404807256,0
1.416417234,0
1.428027211,0
1.439637188,0
1.451247166,0
1.462857143,0
1.474467120,0
1.486077098,0
1.497687075,199.144
1.509297052,196.891
1.520907029,196.715
1.532517007,197.13
1.544126984,197.119
1.555736961,196.812
1.567346939,195.671
1.578956916,193.743
1.590566893,192.068
1.602176871,190.771
1.613786848,189.732
1.625396825,188.642
1.637006803,188.228
1.648616780,189.039
1.660226757,191.034
1.671836735,195.184
1.683446712,205.927
1.695056689,214.336
1.706666667,217.034
1.718276644,215.055
1.729886621,210.632
1.741496599,0
1.753106576,0
1.764716553,0
1.776326531,0
1.787936508,0
