time,freq
0.046439909,83.3559
0.058049887,83.6085
0.116099773,78.1033
0.127709751,525.231
0.150929705,259.165
0.162539683,254.418
0.174149660,254.056
0.185759637,367.169
0.197369615,707.067
0.208979592,693.001
0.220589569,686.507
0.232199546,676.634
0.243809524,358.447
0.255419501,314.414
0.267029478,272.296
0.301859410,107.752
0.313469388,218.23
0.325079365,217.227
0.336689342,223.102
0.348299320,230.366
0.359909297,238.551
0.371519274,246.326
0.383129252,253.129
0.394739229,257.199
0.406349206,260.505
0.417959184,262.418
0.429569161,263.511
0.441179138,264.206
0.452789116,264.318
0.464399093,264.867
0.476009070,265.779
0.487619048,266.348
0.499229025,266.236
0.510839002,264.89
0.522448980,262.265
0.534058957,258.128
0.545668934,252.551
0.557278912,247.668
0.568888889,246.011
0.580498866,246.183
0.592108844,253.824
0.603718821,260.731
0.615328798,163.589
0.626938776,159.291
0.638548753,312.396
0.650158730,307.312
0.661768707,303.298
0.673378685,297.238
0.684988662,291.603
0.696598639,289.948
0.708208617,291.42
0.719818594,294.117
0.731428571,297.743
0.743038549,300.262
0.754648526,301.547
0.766258503,301.937
0.777868481,300.727
0.789478458,298.441
0.801088435,292.12
0.812698413,285.166
0.824308390,280.341
0.835918367,274.02
0.847528345,259.444
0.859138322,237.152
0.870748299,494.999
0.882358277,512.634
0.893968254,207.173
0.905578231,202.65
0.917188209,204.283
0.928798186,205.96
0.940408163,350.733
0.952018141,587.647
0.963628118,273.171
0.975238095,266.793
0.986848073,265.842
0.998458050,264.446
1.010068027,261.985
1.021678005,259.923
1.033287982,256.646
1.044897959,252.489
1.056507937,246.107
1.068117914,232.63
1.079727891,225.673
1.091337868,233.895
1.102947846,513.728
1.114557823,518.156
1.149387755,44.1903
1.160997732,89.7111
1.172607710,744.634
1.184217687,362.52
1.195827664,366.888
1.207437642,373.279
1.219047619,379.777
1.230657596,386.086
1.242267574,395.488
1.253877551,402.064
1.265487528,403.794
1.277097506,403.054
1.288707483,401.863
1.300317460,402.368
1.311927438,404.512
1.323537415,406.038
1.335147392,406.095
1.346757370,405.477
1.358367347,403.961
1.369977324,397.075
1.381587302,391.652
1.393197279,388.43
1.404807256,380.919
1.416417234,364.986
1.428027211,553.066
1.439637188,100.101
1.451247166,100.276
1.462857143,675.253
1.474467120,698.017
1.486077098,693.393
1.497687075,125.556
1.509297052,599.091
1.520907029,400.896
1.532517007,394.439
1.544126984,393.65
1.555736961,394.339
1.567346939,394.285
1.578956916,393.764
1.590566893,391.742
1.602176871,387.969
1.613786848,384.555
1.625396825,381.844
1.637006803,379.743
1.648616780,377.503
1.660226757,376.383
1.671836735,377.837
1.683446712,382.615
1.695056689,392.091
1.706666667,408.631
1.718276644,426.061
1.729886621,434.163
1.741496599,430.161
1.753106576,418.453
1.764716553,395.232
1.776326531,368.158
1.787936508,352.085
1.799546485,345.632
1.811156463,344.497
1.822766440,348.599
1.834376417,360.506
1.845986395,382.223
1.857596372,403.365
1.869206349,410.875
1.880816327,408.643
1.892426304,403.711
1.904036281,398.235
1.915646259,390.944
1.927256236,376.615
1.938866213,361.704
1.950476190,708.352
1.962086168,692.508
1.973696145,678.588
1.985306122,197.239
1.996916100,509.519
2.054965986,58.4479
2.066575964,596.711
2.078185941,602.041
2.089795918,597.199
2.101405896,585.868
2.113015873,615.631
2.124625850,657.043
2.147845805,48.8358
2.159455782,665.495
2.171065760,637.126
2.182675737,595.004
2.194285714,347.312
2.205895692,634.383
2.217505669,615.939
2.229115646,658.471
2.240725624,630.649
2.252335601,655.373
2.263945578,671.046
2.275555556,627.811
2.287165533,615.393
2.298775510,44.908
2.310385488,566.727
2.321995465,121.469
2.333605442,43.4979
2.345215420,664.179
2.356825397,656.588
2.368435374,109.323
2.380045351,700.887
2.391655329,595.769
2.426485261,587.492
2.449705215,641.351
2.461315193,51.0285
2.507755102,614.248
2.519365079,619.63
2.530975057,634.898
2.542585034,635.904
2.554195011,650.736
2.565804989,146.387
2.577414966,650.184
2.589024943,645.703
2.600634921,655.563
2.612244898,586.081
2.623854875,238.059
2.635464853,223.369
2.647074830,216.01
2.658684807,213.521
2.670294785,215.586
2.681904762,222.619
2.693514739,230.592
2.705124717,237.509
2.716734694,243.929
2.728344671,252.269
2.739954649,260.341
2.751564626,266.018
2.763174603,268.835
2.774784580,270.336
2.786394558,270.953
2.798004535,271.706
2.809614512,272.488
2.821224490,273.337
2.832834467,275.173
2.844444444,277.256
2.856054422,280.266
